Player,SR
SR Tendulkar (INDIA),86.23
KC Sangakkara (Asia/ICC/SL),78.86
RT Ponting (AUS/ICC),80.39
ST Jayasuriya (Asia/SL),91.2
DPMD Jayawardene (Asia/SL),78.96
Inzamam-ul-Haq (Asia/PAK),74.24
V Kohli (INDIA),93.28
JH Kallis (Afr/ICC/SA),72.89
SC Ganguly (Asia/INDIA),73.7
R Dravid (Asia/ICC/INDIA),71.24
MS Dhoni (Asia/INDIA),87.56
CH Gayle (ICC/WI),87.19
BC Lara (ICC/WI),79.51
TM Dilshan (SL),86.23
Mohammad Yousuf (Asia/PAK),75.1
AC Gilchrist (AUS/ICC),96.94
AB de Villiers (Afr/SA),101.09
M Azharuddin (INDIA),74.02
PA de Silva (SL),81.13
RG Sharma (INDIA),88.88
Saeed Anwar (PAK),80.67
S Chanderpaul (WI),70.74
Yuvraj Singh (Asia/INDIA),87.67
DL Haynes (WI),63.09
MS Atapattu (SL),67.72
ME Waugh (AUS),76.9
LRPL Taylor (NZ),83.0
V Sehwag (Asia/ICC/INDIA),104.33
HM Amla (SA),88.39
HH Gibbs (SA),83.26
Shahid Afridi (Asia/ICC/PAK),117.0
SP Fleming (ICC/NZ),71.49
MJ Clarke (AUS),78.98
SR Waugh (AUS),75.91
Shoaib Malik (PAK),81.9
A Ranatunga (SL),77.9
Javed Miandad (PAK),67.01
EJG Morgan (ENG/IRE),91.24
Younis Khan (PAK),75.29
Saleem Malik (PAK),76.41
NJ Astle (NZ),72.64
GC Smith (Afr/SA),80.81
WU Tharanga (Asia/SL),75.92
MG Bevan (AUS),74.16
Tamim Iqbal (BDESH),77.74
G Kirsten (SA),72.04
A Flower (ZIM),74.59
IVA Richards (WI),90.2
MJ Guptill (NZ),87.34
Mohammad Hafeez (PAK),76.61
GW Flower (ZIM),67.58
Ijaz Ahmed (PAK),80.3
AR Border (AUS),71.42
Shakib Al Hasan (BDESH),82.75
BRM Taylor (ZIM),76.22
RB Richardson (WI),63.74
ML Hayden (AUS/ICC),78.96
KS Williamson (NZ),81.82
Mushfiqur Rahim (BDESH),79.03
BB McCullum (NZ),96.37
DM Jones (AUS),72.56
DC Boon (AUS),65.13
JN Rhodes (SA),80.9
JE Root (ENG),87.37
Rameez Raja (PAK),63.31
AD Mathews (SL),83.33
RR Sarwan (WI),75.74
CL Hooper (WI),76.63
SR Watson (AUS),90.44
H Masakadza (ZIM),73.21
SK Raina (INDIA),93.5
MN Samuels (WI),75.11
WJ Cronje (SA),76.47
S Dhawan (INDIA),94.01
F du Plessis (SA),88.6
MEK Hussey (AUS),87.16
IR Bell (ENG),77.16
A Jadeja (INDIA),69.8
DR Martyn (AUS),77.73
G Gambhir (INDIA),85.25
ADR Campbell (ZIM),66.18
RS Mahanama (SL),60.57
CG Greenidge (WI),64.92
Misbah-ul-Haq (PAK),73.75
JP Duminy (SA),84.55
PD Collingwood (ENG),76.98
A Symonds (AUS),92.44
Abdul Razzaq (Asia/PAK),81.25
DA Warner (AUS),95.55
CL Cairns (ICC/NZ),84.26
Q de Kock (SA),95.2
Aamer Sohail (PAK),65.5
CD McMillan (NZ),75.94
MD Crowe (NZ),72.63
MV Boucher (Afr/SA),84.76
AJ Stewart (ENG),68.36
AJ Finch (AUS),89.51
SB Styris (NZ),79.41
KP Pietersen (ENG/ICC),86.58
